episode,score,average score,time
220,221.21650502032082,80.42232883835236,2023-05-09 19:16:51.139717
221,-33.554566417932236,80.6398356880348,2023-05-09 19:16:53.474762
222,148.49694218742167,80.08041163177245,2023-05-09 19:17:01.072489
223,239.77740638721488,79.65315697031511,2023-05-09 19:17:05.269589
224,14.084126877807762,82.83332538646553,2023-05-09 19:17:08.993723
225,264.9742329434291,82.96336271063495,2023-05-09 19:17:14.217172
226,304.08131582047696,84.07814458781019,2023-05-09 19:17:20.119204
227,-208.813755832379,79.60292304015789,2023-05-09 19:17:25.454220
228,248.82219786377087,79.82888943008362,2023-05-09 19:17:41.025418
229,252.45269660087425,79.78779594768882,2023-05-09 19:17:46.251581
230,250.97779643411556,79.94288135790444,2023-05-09 19:17:57.016281
231,263.3246608745908,80.0355442408184,2023-05-09 19:18:04.806488
232,261.23876836597447,79.68261638061354,2023-05-09 19:18:10.691283
233,249.68846843307284,79.76330680140546,2023-05-09 19:18:15.862191
234,258.7526014583771,79.25169611848881,2023-05-09 19:18:21.551182
235,222.75593223904775,79.06262794326564,2023-05-09 19:18:31.188252
236,180.4580008969727,83.02737402103267,2023-05-09 19:18:42.888275
237,281.06211376809165,83.5752158154828,2023-05-09 19:18:47.322525
238,243.18334598287714,83.14079708868593,2023-05-09 19:18:51.847957
239,35.35841429798418,85.67655920117332,2023-05-09 19:18:55.127416
240,-240.45174137992092,81.10300722278987,2023-05-09 19:18:58.070505
241,250.48389089449478,81.41320208539922,2023-05-09 19:19:02.606307
242,45.547966843622106,79.35970670333113,2023-05-09 19:19:23.357912
243,257.06995049324905,79.42313966252455,2023-05-09 19:19:35.440703
244,-205.96311324009906,75.62147975497277,2023-05-09 19:19:38.393881
245,0.26318810798717607,76.30661685808413,2023-05-09 19:19:41.746933
246,-164.89616518392035,76.23628325941431,2023-05-09 19:19:43.393445
247,271.6302798539548,76.92944724147023,2023-05-09 19:19:51.237097
248,232.76673256269785,79.28992124933157,2023-05-09 19:19:58.806392
249,5.18637989142259,77.10155296474177,2023-05-09 19:20:00.515154
250,247.87641957332568,77.02760916614743,2023-05-09 19:20:07.374439
251,245.4599773420755,80.93207200247365,2023-05-09 19:20:11.726117
252,247.58098819902852,81.50478212235168,2023-05-09 19:20:18.927297
253,226.97045930709993,82.27202714191208,2023-05-09 19:20:26.577461
254,240.74569270670673,82.4682976901914,2023-05-09 19:20:34.908545
255,169.22263797005272,84.5277966010228,2023-05-09 19:20:44.128477
256,5.803400617948597,82.39586077388616,2023-05-09 19:20:46.092478
257,218.58119167488775,87.4321806471567,2023-05-09 19:20:53.412480
258,249.45556986597575,91.25514555925453,2023-05-09 19:20:58.684924
259,220.69555186839034,94.41551307041776,2023-05-09 19:21:07.997142
260,215.02612078167962,96.70625925816121,2023-05-09 19:21:14.463855
261,-161.17569131965786,94.99869120222924,2023-05-09 19:21:15.727770
262,260.23949861967026,97.04079762774356,2023-05-09 19:21:23.211742
263,274.82486717666586,100.253431413867,2023-05-09 19:21:28.595752
264,-25.879334198056455,101.13758148542539,2023-05-09 19:21:30.900512
265,-44.26712575833584,100.57986717177944,2023-05-09 19:21:32.271243
266,281.31910985435843,101.03003182634235,2023-05-09 19:21:36.999945
267,210.75924246388377,105.52514141185334,2023-05-09 19:21:44.211848
268,244.73176692527252,105.64143651462085,2023-05-09 19:21:48.491027
269,76.02478143217378,108.50059854477206,2023-05-09 19:22:08.659265
270,271.16936496636197,108.36051505129609,2023-05-09 19:22:15.413381
271,-76.25873224672459,105.72425050935084,2023-05-09 19:22:17.244981
272,-69.48341707363711,102.50001971055585,2023-05-09 19:22:18.366693
273,302.5737770837549,108.29265209067196,2023-05-09 19:22:22.398922
274,234.48283289408735,111.43715647273692,2023-05-09 19:22:29.292689
275,21.146589668889888,109.87246130634509,2023-05-09 19:22:32.790644
276,12.521590496141926,107.6779681710594,2023-05-09 19:22:34.602224
277,244.11100305228925,107.84412454103379,2023-05-09 19:22:40.860765
278,-70.85242573422136,104.85883344708567,2023-05-09 19:22:42.480486
279,49.466266760651536,103.48863889606879,2023-05-09 19:22:45.839210
280,196.48665032409446,106.20020953296431,2023-05-09 19:22:55.035462
281,237.0817831876769,110.57206067419271,2023-05-09 19:23:00.293026
282,242.63417002626886,113.41511350789636,2023-05-09 19:23:09.547293
