episode,score,average score,time
72,-26.25430285658922,-121.05075940724647,2023-05-09 23:18:13.604208
73,266.207480779,-115.81753994527018,2023-05-09 23:19:17.627945
74,-36.699632464356,-114.76263451219134,2023-05-09 23:22:13.407428
75,0.823856495504125,-113.24175963051113,2023-05-09 23:25:05.764593
76,99.7185968811608,-110.47604071477512,2023-05-09 23:27:13.872421
77,-79.81398881903799,-110.0829374853426,2023-05-09 23:27:40.421650
78,-0.16770308696288616,-108.69160540435045,2023-05-09 23:30:34.849385
79,-129.73604540601096,-108.9546609043712,2023-05-09 23:31:03.982348
80,-92.4573836752207,-108.75099081512242,2023-05-09 23:31:24.168005
81,-42.41779530878767,-107.94204940650857,2023-05-09 23:34:27.483059
82,-31.35125432097221,-107.01926874282742,2023-05-09 23:37:30.610125
83,148.2356428669261,-103.98051979509225,2023-05-09 23:39:25.607760
84,-52.383578591346804,-103.37349695740113,2023-05-09 23:39:46.502893
85,221.23497262421455,-99.59897986924283,2023-05-09 23:40:50.035605
86,-57.52551209878497,-99.11537679142148,2023-05-09 23:43:53.734418
87,-101.71490227203785,-99.14491685370118,2023-05-09 23:46:57.575251
88,155.91345191693478,-96.27909248549179,2023-05-09 23:49:14.914666
89,-67.55785523171481,-95.95996762711648,2023-05-09 23:50:31.700823
90,-36.18697782956026,-95.3031215853851,2023-05-09 23:51:08.447214
91,-23.819043656586075,-94.52612073833293,2023-05-09 23:51:39.793965
92,-79.3904566993865,-94.36337166264533,2023-05-09 23:52:22.540763
93,274.52699986431514,-90.4390060081032,2023-05-09 23:53:40.333961
94,146.2384710365599,-87.94766414447517,2023-05-09 23:55:42.708809
95,-11.562249137458156,-87.15198273815209,2023-05-09 23:58:47.259822
96,216.07183953685586,-84.0259639518118,2023-05-09 23:59:45.569162
97,172.7555659937501,-81.40574425848975,2023-05-10 00:01:17.410317
98,-13.940557117275503,-80.72427772170981,2023-05-10 00:04:20.262223
99,228.2712071319067,-77.63432287317364,2023-05-10 00:06:02.081888
100,225.056058898089,-74.03039301630031,2023-05-10 00:07:09.181728
101,-47.77331631630429,-73.51559483317651,2023-05-10 00:10:12.989471
102,20.91080995302483,-72.3236004651244,2023-05-10 00:13:17.349783
103,-41.27636872703915,-69.47407854488326,2023-05-10 00:16:21.656165
104,-130.61670279133753,-69.66350970080305,2023-05-10 00:18:14.913009
105,-83.42339360280927,-69.79511518370035,2023-05-10 00:18:57.468956
106,271.9052072635092,-65.64031871096347,2023-05-10 00:19:50.520255
107,-128.7785471526268,-66.20007125381886,2023-05-10 00:21:55.863644
108,178.90267921836818,-63.16385897292952,2023-05-10 00:24:26.161741
109,255.14471371063556,-59.879135932404125,2023-05-10 00:25:51.132747
110,141.78960085295284,-57.37175462116109,2023-05-10 00:28:07.763409
111,-16.59300404238965,-57.04213016245833,2023-05-10 00:28:39.985427
112,-236.68154216320366,-58.68371896757093,2023-05-10 00:30:14.519035
113,-289.4854145726464,-60.568226200767555,2023-05-10 00:32:41.171762
114,-30.453633125027125,-60.379573157646355,2023-05-10 00:33:35.375790
115,175.48154298266525,-57.84424172808706,2023-05-10 00:35:44.809077
116,230.46210847982996,-49.41109055000875,2023-05-10 00:37:37.255879
117,-69.57309422102705,-52.868705986623326,2023-05-10 00:39:39.220972
