episode,score,average score,time
133,234.4412683160213,58.56222938900186,2023-05-09 20:45:27.273374
134,259.6991552742194,61.7566216567817,2023-05-09 20:45:35.187626
135,226.8724118307777,64.79816725597527,2023-05-09 20:45:41.003912
136,46.213138779612684,65.9089886795905,2023-05-09 20:45:56.015525
137,167.18673696589062,67.91598368630771,2023-05-09 20:46:10.953976
138,92.2380560794345,69.50778317607586,2023-05-09 20:46:26.284781
139,301.1497127982,73.06946328740247,2023-05-09 20:46:29.204668
140,256.36733481832584,76.21206858605692,2023-05-09 20:46:36.021224
141,242.16465270522346,78.83567739907028,2023-05-09 20:46:40.741843
142,264.19091693147516,81.84906497903681,2023-05-09 20:46:45.475445
143,265.2029609285216,85.06207391729288,2023-05-09 20:46:49.389812
144,244.05700992020388,90.38044350080982,2023-05-09 20:46:53.908709
145,185.50415181053165,90.49098707463543,2023-05-09 20:47:04.252988
146,274.88739256851744,92.85060783085576,2023-05-09 20:47:09.677109
147,265.9880814708058,96.06773014444494,2023-05-09 20:47:14.272945
148,262.68827408138645,100.59386777965351,2023-05-09 20:47:17.269858
149,229.89758342894967,105.73925586205449,2023-05-09 20:47:23.735891
150,187.61597858916772,109.41382774278117,2023-05-09 20:47:30.530073
151,228.82071416173338,114.75577851590496,2023-05-09 20:47:35.573458
152,238.61514241588648,117.48084667550025,2023-05-09 20:47:41.737814
153,239.6636498585279,118.18800018670942,2023-05-09 20:47:50.342643
154,253.3381759630377,121.26738153519567,2023-05-09 20:47:55.741967
155,222.20216653843642,123.21581024080342,2023-05-09 20:48:01.549231
156,271.58224511463254,124.59724998052354,2023-05-09 20:48:05.196360
157,228.32207569525576,127.22092854730705,2023-05-09 20:48:10.190698
158,225.28411549761682,129.96892751256325,2023-05-09 20:48:17.216524
159,259.0886495786484,132.65448808015807,2023-05-09 20:48:22.584556
160,11.49973044684927,132.89535950084277,2023-05-09 20:48:24.558174
161,-88.79497951755822,132.33646525503042,2023-05-09 20:48:26.488943
162,174.58832911376538,132.17949897611643,2023-05-09 20:48:38.026735
163,273.1936365896666,134.90687688472946,2023-05-09 20:48:40.750533
164,-0.08595585682827789,135.14339260053902,2023-05-09 20:48:41.747808
165,233.66937909092218,138.17285579413237,2023-05-09 20:48:45.915340
166,-58.007151067107316,137.44536742047563,2023-05-09 20:48:46.965378
167,252.45697927668448,140.765932632622,2023-05-09 20:48:50.901667
168,-16.163512950353763,141.03943331335546,2023-05-09 20:48:52.412271
169,248.21462885913445,143.78371905439775,2023-05-09 20:48:56.302226
170,248.12203382149613,146.49853997743386,2023-05-09 20:49:00.039322
171,249.9427050850115,149.08643464795625,2023-05-09 20:49:04.727582
172,-153.39002556767502,147.99042044218027,2023-05-09 20:49:05.763057
173,229.3616986136029,150.9863641939642,2023-05-09 20:49:09.698679
174,292.2834018812756,154.2314082821539,2023-05-09 20:49:12.250028
175,256.96154062927934,157.5506019949222,2023-05-09 20:49:16.350679
176,270.94064525221404,160.38069656477543,2023-05-09 20:49:20.814023
177,-275.5348790341301,157.8329186512138,2023-05-09 20:49:22.085291
178,246.5079654860843,160.73040637491266,2023-05-09 20:49:28.463129
179,-9.183204710808525,161.28124526166957,2023-05-09 20:49:29.592575
180,272.12304130732434,164.24456365226865,2023-05-09 20:49:34.789629
181,23.993803767108588,164.48035863939694,2023-05-09 20:49:35.855672
182,-35.41253905629934,164.19889890222257,2023-05-09 20:49:37.322133
183,226.0311307373305,166.94048471774633,2023-05-09 20:49:39.839563
184,-247.65920222419416,162.70068573689153,2023-05-09 20:49:41.226615
185,-6.579669937347475,160.9154653733993,2023-05-09 20:49:42.460167
186,39.18329121068086,161.6394534956944,2023-05-09 20:49:43.737813
187,-80.06941754273866,159.59273307035463,2023-05-09 20:49:44.908203
188,-159.6096894072978,157.13211150024725,2023-05-09 20:49:45.882554
189,-46.74112319283641,154.32467015049835,2023-05-09 20:49:46.839542
190,-144.7924208899645,150.5799407405374,2023-05-09 20:49:47.605232
191,1.106292824858329,150.52882998707264,2023-05-09 20:49:48.612009
192,-112.40036238317633,149.9709866936992,2023-05-09 20:49:49.794074
193,-37.764901952328216,149.34518901687454,2023-05-09 20:49:50.513183
194,-111.17857964750017,146.42326625893463,2023-05-09 20:49:51.271070
195,275.40135569949825,150.0974689869634,2023-05-09 20:49:53.378819
196,-38.317986280462804,147.21431280956682,2023-05-09 20:49:54.516530
197,250.99011122095393,150.13798554427703,2023-05-09 20:49:56.470609
198,237.82731084555334,150.1083182994212,2023-05-09 20:50:01.003769
199,257.94025450782453,150.5076406581218,2023-05-09 20:50:04.727429
200,283.55389818203935,152.84040761186142,2023-05-09 20:50:07.794013
201,-193.706903215637,147.7551854058838,2023-05-09 20:50:08.843387
202,7.3220458837491265,145.56424300385717,2023-05-09 20:50:10.623671
203,276.2416363775657,145.79785081833862,2023-05-09 20:50:13.028650
204,-254.88952094573034,141.7930263759068,2023-05-09 20:50:14.067382
205,-150.5360037081641,138.24497574403966,2023-05-09 20:50:17.488996
206,-9.406518472361228,139.92697037793636,2023-05-09 20:50:18.441153
207,-56.37554877565507,137.1581318321845,2023-05-09 20:50:33.824914
208,254.60508985947965,142.1598496127939,2023-05-09 20:50:41.716102
209,281.99719057052613,144.18916475934546,2023-05-09 20:50:45.660888
210,218.3278960160557,144.0489844219021,2023-05-09 20:50:49.077454
211,-175.68216626929865,139.97234704381367,2023-05-09 20:50:50.634114
212,53.16810015575473,138.12771854110994,2023-05-09 20:50:52.214646
213,-22.83138208025973,135.60277288262904,2023-05-09 20:50:53.322942
214,260.9713831527604,136.20775470911374,2023-05-09 20:50:58.523231
215,267.80125644509974,136.39050075626218,2023-05-09 20:51:02.259211
216,278.53200022618415,139.15415907891813,2023-05-09 20:51:06.452680
217,206.40589031789224,138.6785830881047,2023-05-09 20:51:11.840955
218,-23.44207638262037,136.08749473531023,2023-05-09 20:51:12.802224
219,239.85836519986356,136.35295720200244,2023-05-09 20:51:17.812259
220,23.08481042238877,134.91944974998992,2023-05-09 20:51:19.143041
221,238.37700751266524,135.155007461413,2023-05-09 20:51:24.472647
222,-16.710619965307004,132.600694912199,2023-05-09 20:51:25.607096
223,264.76036482952395,133.03114919050074,2023-05-09 20:51:33.189903
224,285.0602988822023,133.66234442812106,2023-05-09 20:51:37.637148
225,256.3689248890555,134.05748188908672,2023-05-09 20:51:42.415388
