episode,score,average score,time
119,-30.588169790080077,-81.86051459216965,2023-05-10 13:25:24.163321
120,-89.19886348585968,-81.98435000734497,2023-05-10 13:28:27.280942
121,-19.774658805401796,-80.69987885010299,2023-05-10 13:31:30.306173
122,-70.37066281906111,-79.26287056014318,2023-05-10 13:34:34.191617
123,-30.03102774039184,-78.22294110948866,2023-05-10 13:37:36.859590
124,-18.494541086316385,-75.78534217843016,2023-05-10 13:40:39.790988
125,-47.289893304581796,-74.40153576672671,2023-05-10 13:43:43.590008
126,-36.267497715914246,-73.70609350105235,2023-05-10 13:46:47.843223
127,-45.168177337851844,-73.06615989040137,2023-05-10 13:49:53.871290
128,-142.29482743293678,-74.14875401554742,2023-05-10 13:50:12.643628
129,7.5927681140375824,-73.34019591073822,2023-05-10 13:50:34.137192
130,-127.51418489382876,-73.71569778912205,2023-05-10 13:52:45.437521
131,-141.24812155759622,-73.69013706265608,2023-05-10 13:54:18.647297
132,-140.05716592771398,-73.9715905596581,2023-05-10 13:55:36.809286
133,-44.38253107731173,-73.5877514053817,2023-05-10 13:58:41.200042
134,-51.93495835629598,-73.07739787686403,2023-05-10 14:01:45.825950
135,-63.91494089291891,-72.33893879786436,2023-05-10 14:04:52.060709
136,-29.66336281970723,-71.94745549947304,2023-05-10 14:07:56.966056
137,-80.1651564216215,-72.13336622870504,2023-05-10 14:08:49.148886
138,-41.84603926653324,-71.76106923286973,2023-05-10 14:11:52.138424
139,-25.10775873991584,-71.22661956212443,2023-05-10 14:14:56.462870
140,-24.633268675364434,-70.03287234650476,2023-05-10 14:18:01.295999
141,-36.65530682206183,-69.40806496819003,2023-05-10 14:21:05.488716
142,-39.03361169097697,-68.99700361896728,2023-05-10 14:24:12.106346
143,-18.504542194498832,-67.66003836406416,2023-05-10 14:27:16.501913
144,-52.1991390437601,-66.9750424148112,2023-05-10 14:28:48.317161
145,-12.228459308943666,-65.98871296793072,2023-05-10 14:31:54.004166
146,-99.14252443737372,-65.8815419749713,2023-05-10 14:34:34.675257
147,-36.57307405510767,-65.43374106741629,2023-05-10 14:37:38.815567
148,-30.655414161098683,-65.02869808474082,2023-05-10 14:40:43.593772
149,-223.46124677893732,-66.33246351749705,2023-05-10 14:43:31.581010
150,-28.615336491037283,-65.86178413966505,2023-05-10 14:43:54.932215
151,-2.231170240900525,-65.18413417728605,2023-05-10 14:44:23.571401
152,163.17244445137092,-62.56977880171173,2023-05-10 14:46:46.177223
153,-82.72714283124236,-62.57081921401442,2023-05-10 14:48:53.398476
154,-47.25727996473836,-61.93770005271686,2023-05-10 14:51:59.714895
155,-0.1285809152065127,-60.90361378626724,2023-05-10 14:52:17.826840
156,-68.2146968994781,-60.73447638551622,2023-05-10 14:52:33.912418
157,-52.39945755726432,-60.16991964593493,2023-05-10 14:55:39.378141
158,-0.542591702347047,-59.42670019508509,2023-05-10 14:58:46.339098
159,-8.302923406150242,-58.60649190424812,2023-05-10 14:59:25.217313
160,-23.179465273024302,-58.38973469664666,2023-05-10 15:02:32.548291
161,-37.58555739439618,-57.743930421099066,2023-05-10 15:05:37.376808
162,-40.90155755585757,-57.3435299962646,2023-05-10 15:08:45.977843
163,3.641608755373454,-56.73731780615357,2023-05-10 15:09:07.785578
164,-39.00662735552387,-56.326080587119606,2023-05-10 15:12:14.310165
165,2.1399321700843217,-55.11316977166662,2023-05-10 15:13:13.071649
166,-4.812513735526654,-54.39288188941234,2023-05-10 15:16:19.579575
167,-103.93520385302759,-54.18741080857139,2023-05-10 15:16:37.940425
168,-20.954433048058664,-53.8138878030524,2023-05-10 15:19:42.080129
169,-9.188266276111769,-53.41262285548237,2023-05-10 15:22:47.906746
170,-50.35129801523643,-53.34099626172311,2023-05-10 15:25:53.315080
171,-30.78431377923536,-52.88910724028974,2023-05-10 15:29:00.929597
172,-56.00374241897429,-52.799040224825355,2023-05-10 15:32:06.278261
173,-40.06107927457162,-52.87467184516215,2023-05-10 15:35:11.532481
174,-31.592025417776746,-52.21715702139236,2023-05-10 15:38:16.160452
175,-19.16275784270934,-51.676730905086224,2023-05-10 15:41:20.002339
176,-74.70218124715676,-51.615436808124976,2023-05-10 15:44:24.023121
177,-34.85045847209793,-51.38433849507821,2023-05-10 15:47:26.354628
178,75.82964977865922,-50.135376973553974,2023-05-10 15:49:48.920296
179,-216.59028159853895,-51.90733420169973,2023-05-10 15:51:49.990275
180,-32.628099078501975,-51.75932908549343,2023-05-10 15:54:54.942155
181,-8.170718578037672,-50.9484442138243,2023-05-10 15:57:59.924863
182,-40.606764918156024,-51.04846891232211,2023-05-10 16:01:03.218570
183,-33.1850913502676,-50.706383432651954,2023-05-10 16:04:09.137387
184,10.41950910330047,-50.027617427696605,2023-05-10 16:05:02.255463
185,-57.365017812406116,-49.914569199026246,2023-05-10 16:08:08.737918
186,-8.390149030359414,-49.06891975162136,2023-05-10 16:11:13.778746
187,9.486962850512958,-48.59693371074952,2023-05-10 16:14:17.709304
188,0.5849212246345701,-47.78715032461391,2023-05-10 16:15:03.236502
189,-15.236312893360669,-47.31902970385201,2023-05-10 16:18:09.014133
190,-48.30168453994553,-46.986974202223,2023-05-10 16:21:12.653860
191,-31.790558183530493,-46.91839659246879,2023-05-10 16:24:18.678676
192,-134.25886010326946,-47.290144911501535,2023-05-10 16:27:13.067899
193,-47.67989639269205,-47.08523383223147,2023-05-10 16:30:19.507485
194,-30.59349734218317,-46.40081864381822,2023-05-10 16:30:37.697761
195,-36.952326687628414,-45.937088920526236,2023-05-10 16:33:43.971919
196,-22.063528253956292,-45.653684861358926,2023-05-10 16:36:47.640629
197,153.061645487807,-43.310372219291175,2023-05-10 16:38:36.691603
198,183.2330265071659,-40.895454948948775,2023-05-10 16:39:51.670228
199,171.33619724168375,-38.6515807396038,2023-05-10 16:40:29.288018
200,220.7533766796637,-36.122981152049086,2023-05-10 16:41:29.011643
201,-43.04588400130431,-35.76237843424815,2023-05-10 16:41:44.113529
202,-56.94970267716529,-35.92309176801466,2023-05-10 16:42:06.526992
203,-47.752567155856596,-35.61674702186325,2023-05-10 16:42:24.490655
204,-41.82890811094452,-35.62393783982388,2023-05-10 16:45:28.252961
205,-24.962173142639823,-35.310939321415304,2023-05-10 16:48:32.138973
206,175.56289758625968,-32.69287283390236,2023-05-10 16:50:15.090741
207,10.53019253561551,-30.810115760871078,2023-05-10 16:53:19.943830
208,-32.81094377201319,-30.435278835420316,2023-05-10 16:56:24.552506
209,229.63948275635835,-27.897204435072027,2023-05-10 16:57:11.370914
210,5.424450994366904,-27.183578366552968,2023-05-10 17:00:17.146592
211,7.451104201237064,-26.738368212129004,2023-05-10 17:03:24.453681
212,192.74123823873668,-24.62080424399708,2023-05-10 17:04:21.896111
213,-48.37503345871871,-24.47933992431545,2023-05-10 17:04:38.605908
214,109.62869873894597,-22.87056560204324,2023-05-10 17:07:42.774371
215,-1.3848246770825088,-22.585511845286565,2023-05-10 17:10:48.064069
216,-49.03476407459217,-22.253591839620228,2023-05-10 17:13:52.466052
217,-170.52483317940545,-23.417872585300827,2023-05-10 17:15:22.869599
218,222.2010245711253,-20.819410766332293,2023-05-10 17:16:48.398046
219,-263.8855187338478,-23.152384255769967,2023-05-10 17:18:22.652555
220,190.69196869684424,-20.353475933942924,2023-05-10 17:19:33.240021
221,149.92688745137997,-18.656460471375105,2023-05-10 17:21:31.447479
222,-244.1717217364136,-20.394471060548636,2023-05-10 17:21:46.949902
223,-1.5048693975482337,-20.109209477120203,2023-05-10 17:22:08.514160
224,223.76239699210217,-17.68664009633601,2023-05-10 17:22:49.050167
225,187.4468437712526,-15.339272725577668,2023-05-10 17:24:13.477445
226,-32.82208776332,-15.304818626051727,2023-05-10 17:24:32.430353
227,209.96078102095743,-12.753529042463635,2023-05-10 17:25:13.485654
228,-192.2446193464245,-13.253026961598511,2023-05-10 17:26:44.796804
229,-79.95250648643066,-14.128479707603194,2023-05-10 17:27:04.461319
230,-212.08515661820672,-14.974189424846973,2023-05-10 17:29:25.824903
231,-372.17234604189906,-17.28343166969,2023-05-10 17:30:15.045779
232,114.98144963635393,-14.733045514049323,2023-05-10 17:32:03.659794
233,208.10581344267786,-12.20816206884943,2023-05-10 17:32:57.673863
234,217.1744367852902,-9.517068117433567,2023-05-10 17:34:00.753032
235,-127.545651900504,-10.153375227509418,2023-05-10 17:34:18.174885
236,-219.6261085459496,-12.05300268477184,2023-05-10 17:35:05.741232
237,-112.3211130149677,-12.374562250705305,2023-05-10 17:37:16.727046
238,0.39493370395248917,-11.952152521000446,2023-05-10 17:37:38.284578
239,-81.63471927159422,-12.517422126317229,2023-05-10 17:40:40.933364
240,20.10861915045247,-12.07000324805906,2023-05-10 17:41:14.374629
241,176.91841031024632,-9.934266076735979,2023-05-10 17:42:18.549059
242,151.5321380908074,-8.028608578918131,2023-05-10 17:43:26.004763
243,-91.9020616641114,-8.76258377361426,2023-05-10 17:43:41.812006
244,-185.8680897125958,-10.099273280302619,2023-05-10 17:43:59.385969
245,-308.62025437394686,-13.063191230952652,2023-05-10 17:44:46.240443
246,-31.56178123884405,-12.387383798967353,2023-05-10 17:45:22.420138
247,-4.519582301392305,-12.0668488814302,2023-05-10 17:45:37.213193
248,-3.7459499689447426,-11.797754239508661,2023-05-10 17:46:04.676663
249,182.33089236147424,-7.739832848104545,2023-05-10 17:46:59.539890
250,-41.47814550350624,-7.868460938229233,2023-05-10 17:47:32.682794
251,-40.348674883778244,-8.249635984658012,2023-05-10 17:47:51.160894
252,25.463597513414527,-9.626724454037573,2023-05-10 17:48:10.826567
253,241.6030837887296,-6.383422187837856,2023-05-10 17:49:01.669375
254,207.41055248525942,-3.836743863337879,2023-05-10 17:50:44.432081
255,215.65276056869286,-1.6789304484988847,2023-05-10 17:51:30.078644
256,-159.79743862433216,-2.5947578657474253,2023-05-10 17:51:47.871791
257,-246.33245755427853,-4.5340878657175665,2023-05-10 17:52:37.093291
258,-58.076765933320694,-5.109429608027303,2023-05-10 17:52:56.566747
259,-297.42811493273496,-8.00068152329315,2023-05-10 17:53:48.740585
260,-51.7177295768536,-8.286064166331444,2023-05-10 17:54:08.280814
261,167.34316233035403,-6.236776969083942,2023-05-10 17:55:30.542816
262,-34.71217670350292,-6.174883160560395,2023-05-10 17:55:51.605368
263,-192.87795176582125,-8.14007876577234,2023-05-10 17:56:05.157245
264,-291.04807150905845,-10.660493207307686,2023-05-10 17:57:12.103109
265,-116.84458039677257,-11.850338332976255,2023-05-10 17:57:28.086507
266,209.03615728246976,-9.711851622796292,2023-05-10 17:59:11.272042
267,-96.42579432861574,-9.636757527552176,2023-05-10 17:59:28.038763
268,155.73038755934326,-7.869909321478156,2023-05-10 18:00:44.624480
269,-117.69124686314089,-8.954939127348446,2023-05-10 18:01:03.013258
270,-433.16214972355397,-12.783047644431623,2023-05-10 18:01:16.947302
271,177.6343492814469,-10.698861013824802,2023-05-10 18:02:28.911998
272,-541.6929701309332,-15.55575329094439,2023-05-10 18:03:01.558560
273,3.286467666762533,-15.122277821531048,2023-05-10 18:03:44.859583
